City,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
Rosarito,32.33,-117.03,67.3,60,90,8.05
Aksarka,66.56,67.8,5.45,92,1,5.75
Saurimo,-9.66,20.39,66.81,67,28,1.81
Barrow,71.29,-156.79,12.2,78,1,13.87
George Town,5.41,100.34,82.02,88,20,2.24
Sur,22.57,59.53,75.78,71,12,7.09
Bredasdorp,-34.53,20.04,61.97,68,24,9.17
Atuona,-9.8,-139.03,82.33,79,15,14.97
New Norfolk,-42.78,147.06,63.34,55,20,5.82
Mataura,-46.19,168.86,64.99,65,21,1.01
Vaini,-21.2,-175.2,84.2,79,20,10.29
Tuktoyaktuk,69.45,-133.04,12.2,61,20,14.99
Armidale,-30.52,151.65,68.0,56,0,4.0
Cabo San Lucas,22.89,-109.91,73.87,60,75,6.93
Lebu,-37.62,-73.65,56.28,76,0,17.94
Kaiwaka,-36.17,174.45,72.9,56,79,5.01
Narsaq,60.92,-46.05,32.0,82,20,4.7
Mbini,1.57,9.61,80.6,100,40,4.7
Cape Town,-33.93,18.42,60.96,72,20,13.87
Kupang,-10.17,123.58,86.0,79,20,8.05
Castro,-24.79,-50.01,65.44,56,8,1.32
Rikitea,-23.12,-134.97,79.16,71,100,7.54
Gizo Government Station,-8.1,156.84,83.41,79,98,13.42
Punta Arenas,-53.15,-70.92,48.96,76,75,11.41
Cherskiy,68.75,161.3,5.23,91,56,10.02
Amoy,24.48,118.08,62.6,93,90,11.18
Lloydminster,53.28,-110.0,10.4,60,40,14.99
Qaanaaq,77.48,-69.36,5.88,87,95,6.24
Bengkulu,-3.8,102.27,78.06,79,100,3.85
East London,-33.02,27.91,68.81,80,100,19.1
Saint-Pierre,-21.34,55.48,70.7,83,5,6.93
Port Alfred,-33.59,26.89,61.0,98,79,5.99
Alofi,-19.06,-169.92,86.0,79,100,9.17
Hobart,-42.88,147.33,63.88,55,20,5.82
Itoman,26.12,127.67,67.17,88,75,25.28
Mogapi,-22.32,27.83,64.15,36,72,5.82
Upernavik,72.79,-56.15,-3.23,90,74,19.1
Iguape,-24.71,-47.56,72.45,90,1,6.46
Katsuura,35.13,140.3,53.98,93,75,10.29
Udachny,66.42,112.4,-2.2,77,26,11.18
Saldanha,-33.01,17.94,59.0,77,0,10.29
Thompson,55.74,-97.86,15.8,72,75,19.46
Mahébourg,-20.41,57.7,77.0,92,0,1.99
Hilo,19.73,-155.09,69.13,69,90,9.17
Vestmannaeyjar,63.44,-20.27,39.31,75,97,23.89
Cidreira,-30.18,-50.21,72.88,85,93,14.27
Manturovo,58.34,44.76,22.86,96,100,7.9
Carutapera,-1.2,-46.02,79.29,84,100,4.32
Carnarvon,-24.87,113.63,73.4,73,99,11.41
Ushuaia,-54.8,-68.3,48.2,76,40,5.82
Ancud,-41.87,-73.82,46.4,81,23,4.7
Esim,4.87,-2.24,80.82,88,87,7.2
Albany,42.6,-73.97,38.32,60,40,1.9
Khatanga,71.97,102.5,-7.47,91,54,8.34
Goderich,43.75,-81.72,42.51,87,94,10.67
Tromsø,69.65,18.96,25.59,73,20,6.93
Saint-Philippe,-21.36,55.77,70.25,83,2,6.93
Nizhneangarsk,55.78,109.55,31.08,76,88,11.79
Puerto Ayacucho,5.66,-67.62,89.6,49,40,4.7
Vikulovo,56.82,70.61,25.21,94,99,7.94
Magdalena,14.2,121.43,84.99,58,20,3.36
Bubaque,11.28,-15.83,79.68,69,36,10.4
Jalu,29.03,21.55,57.25,68,0,7.58
Mar del Plata,-38.0,-57.56,64.0,59,90,12.75
Puerto Ayora,-0.74,-90.35,80.85,78,20,10.29
Rajshahi,24.37,88.6,73.9,21,0,1.23
Kalmunai,7.42,81.82,77.83,73,42,5.5
Bundaberg,-24.85,152.35,82.4,54,75,8.05
Ribeira Grande,38.52,-28.7,57.34,69,97,30.78
Nísia Floresta,-6.09,-35.21,77.0,100,40,2.24
Cap Malheureux,-19.98,57.61,77.0,92,0,1.99
Snezhnogorsk,69.19,33.25,19.4,92,90,6.71
Port Elizabeth,-33.92,25.57,60.8,87,90,18.34
Qui Nhon,13.77,109.23,78.73,81,40,3.56
Busselton,-33.65,115.33,59.85,97,100,1.01
Hong Kong,22.29,114.16,65.53,82,40,6.93
Mbengwi,6.02,10.0,68.65,62,100,1.99
Rocha,-34.48,-54.33,63.19,90,60,8.9
Jamestown,42.1,-79.24,41.63,93,90,5.82
Ilulissat,69.22,-51.1,3.2,65,99,19.46
Fortuna,40.6,-124.16,53.33,66,90,9.17
Chkalovsk,56.76,43.24,24.39,92,90,11.18
Batagay-Alyta,67.8,130.41,0.48,77,83,1.59
Kiunga,-6.12,141.29,83.32,80,84,2.55
Katherine,-14.47,132.27,89.6,52,0,3.36
Vao,-22.67,167.48,74.86,76,50,17.29
Kushima,31.46,131.23,60.06,93,90,6.93
Aklavik,68.22,-135.01,17.6,34,5,12.75
Henties Bay,-22.12,14.28,57.0,91,0,1.01
Provideniya,64.38,-173.3,26.6,79,90,4.47
Ponta do Sol,32.67,-17.1,55.44,67,20,11.41
Noumea,-22.28,166.46,86.0,55,75,9.17
Carballo,43.21,-8.69,46.42,81,82,2.24
Avarua,-21.21,-159.78,87.8,79,75,9.17
Anjangaon,21.16,77.31,82.35,20,49,5.95
San Patricio,19.22,-104.7,82.4,78,5,11.41
Onega,63.91,38.14,23.58,91,100,15.48
Saint Paul Harbor,57.79,-152.41,37.4,44,20,9.17
Malanje,-9.54,16.34,65.71,68,2,2.1
Yellowknife,62.46,-114.35,10.2,32,40,9.17
Kahului,20.89,-156.47,71.78,69,40,18.34
Arraial do Cabo,-22.97,-42.03,77.0,88,75,4.7
Bambous Virieux,-20.34,57.76,77.0,92,0,1.99
Tasiilaq,65.61,-37.64,21.2,41,2,34.45
Marsh Harbour,26.54,-77.06,77.07,78,53,14.12
Srednekolymsk,67.45,153.68,9.34,89,25,2.8
Kavieng,-2.57,150.8,83.68,77,87,11.39
Abhā,18.22,42.51,59.85,67,19,5.82
Itatiaia,-22.5,-44.56,69.96,80,46,2.98
Geraldton,-28.77,114.6,69.53,64,91,9.17
Maridi,4.92,29.47,73.09,60,86,4.76
Dikson,73.51,80.55,-2.6,93,100,5.12
Sangar,63.92,127.47,21.0,96,100,5.17
Nikolskoye,59.7,30.79,30.11,86,90,8.95
Apastovo,55.2,48.51,33.8,86,75,15.66
Pisco,-13.7,-76.22,71.33,83,75,8.05
Bluff,-46.6,168.33,64.99,65,17,1.01
Cerqueira César,-23.04,-49.17,67.6,61,4,4.32
Longyan,25.11,117.02,60.04,71,38,3.29
Vitim,59.45,112.56,24.15,95,100,9.42
Husavik,66.04,-17.34,37.4,55,90,39.15
Hermanus,-34.42,19.23,60.42,83,41,11.72
Vila,42.03,-8.16,45.05,100,90,5.82
Hithadhoo,-0.6,73.08,83.53,67,64,8.86
Volot,57.93,30.7,27.52,93,100,13.44
Salalah,17.02,54.09,78.8,78,20,4.7
Tarakan,3.3,117.63,78.93,80,87,4.23
Ust'-Shonosha,61.15,41.34,17.19,91,12,5.17
Atar,20.52,-13.05,81.64,26,100,4.56
Twin Falls,42.56,-114.46,46.08,81,90,19.46
Nebug,44.17,39.0,48.02,81,7,6.31
Half Moon Bay,37.46,-122.43,62.96,55,20,16.11
Acaraú,-2.89,-40.12,78.08,89,95,7.47
Chokurdakh,70.63,147.92,-2.18,91,94,4.14
Tabou,4.42,-7.35,80.91,86,52,6.22
Yeppoon,-23.13,150.73,82.4,61,40,8.05
Lüderitz,-26.65,15.16,62.6,59,0,9.17
Bilibino,68.05,166.44,2.44,83,92,1.57
Xichang,27.9,102.26,53.74,32,9,2.55
Huinan,42.62,126.26,40.69,51,3,5.28
Poum,-20.23,164.02,78.12,76,55,14.85
Banff,51.18,-115.57,12.0,82,98,3.0
Yangi Marg`ilon,40.43,71.72,55.4,76,90,11.41
São Filipe,14.9,-24.5,73.09,81,94,7.25
Ambilobe,-13.2,49.05,76.05,89,60,1.81
Yulara,-25.24,130.99,75.2,69,78,6.93
Khani,41.96,42.96,48.2,76,0,10.29
Hasaki,35.73,140.83,55.78,100,90,6.93
Lorengau,-2.02,147.27,83.59,79,87,10.8
Vredendal,-31.67,18.5,54.61,80,0,1.92
Newala,-10.94,39.28,63.03,84,98,0.2
Mossamedes,-15.2,12.15,74.43,70,16,7.94
Novy Urengoy,66.08,76.63,11.21,93,90,8.72
‘Ewa Beach,21.32,-158.01,76.15,54,75,10.29
Makat,47.65,53.35,48.43,73,69,4.65
Bougouni,11.42,-7.48,83.44,17,21,2.33
Sitka,57.05,-135.33,36.84,44,20,8.05
Hargeisa,9.56,44.06,71.87,53,11,2.59
Flinders,-34.58,150.86,70.68,100,75,3.36
Bowen,-20.02,148.23,84.2,58,40,12.75
Saint George,37.1,-113.58,67.6,21,1,10.29
Dakar,14.69,-17.44,73.83,73,33,9.17
Abakaliki,6.32,8.12,81.28,79,98,3.24
Clyde River,70.47,-68.59,3.2,71,90,9.17
Amapá,1.0,-52.0,73.62,95,100,1.88
Torbay,47.67,-52.73,36.52,93,90,9.17
Yabrūd,33.97,36.66,49.28,66,40,11.41
Amalāpuram,16.58,82.02,74.48,92,2,1.28
Tual,-5.67,132.75,85.03,71,95,4.81
Itanagar,27.1,93.62,67.19,44,19,2.73
Iisalmi,63.56,27.19,32.0,96,41,11.41
Buala,-8.14,159.59,84.81,72,87,6.15
Balugo,12.58,121.44,81.28,76,71,9.26
Iqaluit,63.75,-68.51,-7.29,63,20,4.7
Butaritari,3.07,172.79,83.89,77,77,17.9
Chapais,49.78,-74.85,39.2,38,1,5.82
Leningradskiy,69.38,178.42,12.18,92,9,6.22
Nome,64.5,-165.41,24.91,92,90,5.82
Cavalcante,-13.8,-47.46,70.18,59,6,2.82
Hachinohe,40.5,141.5,54.14,71,75,6.93
Yumen,40.28,97.2,31.91,47,35,16.98
Kapaa,22.08,-159.32,77.14,65,1,12.75
San Quintín,30.48,-115.95,65.75,61,100,8.08
Saskylakh,71.92,114.08,-9.17,88,87,12.73
Kieta,-6.22,155.63,82.44,69,100,4.14
Namwala,-15.75,26.44,63.66,67,4,3.06
Taltal,-25.4,-70.48,66.94,70,5,3.53
Tuatapere,-46.13,167.68,64.99,65,23,1.01
Rawson,-43.3,-65.1,63.7,49,26,22.15
Dingle,11.0,122.67,81.55,74,82,10.69
Codrington,-38.27,141.97,63.36,63,46,6.85
Luwuk,-0.95,122.79,83.41,67,99,2.24
Tiksi,71.69,128.87,-1.48,89,100,4.03
Mhango,-3.28,32.85,66.42,68,78,2.01
Walla Walla,46.06,-118.34,46.31,56,20,14.99
Province of Mantua,45.17,10.78,38.79,71,32,8.05
Chok Chai,14.73,102.17,85.28,74,18,4.7
Beaumont,30.09,-94.1,62.82,67,1,4.7
Evensk,61.95,159.23,14.04,92,98,3.18
San Cristobal,7.77,-72.22,72.88,51,67,0.69
Sainte-Suzanne,-20.91,55.61,70.23,88,16,4.7
Churapcha,62.0,132.43,19.69,93,100,6.73
Namatanai,-3.67,152.43,83.23,73,95,8.81
Ust'-Omchug,61.15,149.63,13.05,83,82,5.26
Norman Wells,65.28,-126.83,15.8,47,5,19.46
Kaitangata,-46.28,169.85,57.0,83,14,8.99
Waingapu,-9.66,120.26,82.44,70,85,5.14
Diffa,13.32,12.61,90.64,24,90,7.11
Boyolangu,-8.12,111.89,79.0,81,94,0.43
Nanortalik,60.14,-45.24,32.86,88,26,15.26
Malinyi,-8.93,36.13,74.7,84,79,0.94
Moramanga,-18.93,48.2,65.39,73,67,0.89
Syamzha,60.02,41.06,13.96,93,0,3.31
Pacific Grove,36.62,-121.92,64.27,67,20,8.05
Souillac,-20.52,57.52,77.0,92,0,1.99
Cabedelo,-6.98,-34.83,78.8,88,20,2.24
Port Blair,11.67,92.75,80.82,75,38,7.92
Cartagena,10.4,-75.51,82.4,78,15,6.93
Antalaha,-14.9,50.28,78.33,84,50,6.64
Santo Antônio do Sudoeste,-26.07,-53.73,73.58,60,62,2.68
São Domingos,-13.4,-46.32,71.56,59,3,4.81
Nioro,13.35,-15.75,86.5,20,26,12.12
Nachingwea,-10.38,38.77,68.41,82,84,1.21
Dzilam González,21.28,-88.93,80.38,73,30,11.01
Gamba,-2.65,10.0,79.81,86,0,6.71
Olive Branch,34.96,-89.83,55.38,67,20,6.93
Amahai,-3.33,128.92,83.48,71,89,5.1
Izmalkovo,52.69,37.96,27.18,80,52,11.16
Pevek,69.7,170.31,2.95,91,33,3.04
Fairbanks,64.84,-147.72,25.75,35,1,6.93
Severo-Kuril'sk,50.68,156.12,35.98,85,100,15.59
Te Anau,-45.42,167.72,59.45,50,16,1.48
Baykit,61.67,96.37,10.33,90,41,2.28
Tagusao,9.19,117.81,82.06,75,15,6.13
Bandarbeyla,9.49,50.81,79.93,76,13,8.61
Saint-Joseph,-21.37,55.62,70.23,83,3,6.93
Esperance,-33.87,121.9,60.8,100,28,3.36
Kédougou,12.56,-12.17,91.4,29,56,4.7
Strezhevoy,60.73,77.59,32.0,91,100,6.71
Erenhot,43.65,111.98,31.17,41,0,6.33
Vostok,46.49,135.88,32.7,68,86,4.79
Khovd,48.01,91.64,18.81,61,0,3.76
Swan Hill,-35.34,143.55,75.99,47,30,3.0
Rahā,26.23,92.52,69.78,31,0,2.04
Limoeiro do Ajuru,-1.9,-49.38,75.92,96,99,1.52
Adrar,20.5,-10.07,79.54,16,100,6.55
Harvard,42.42,-88.61,37.58,75,90,11.41
Lithakia,37.72,20.83,49.44,93,20,3.36
Vila Franca do Campo,37.72,-25.43,55.4,62,20,13.87
Bereda,43.27,-7.54,44.56,81,81,2.24
Fomboni,-12.28,43.74,83.05,75,73,11.52
Mchinji,-13.8,32.88,57.97,65,3,2.37
Mollendo,-17.02,-72.01,71.17,74,100,3.96
Dickinson,29.46,-95.05,69.42,49,1,5.82
Saint Anthony,45.02,-93.22,47.7,42,1,4.7
Esil,51.96,66.4,23.92,91,93,12.03
Hervey Bay,-25.3,152.85,81.1,54,75,8.05
Maceió,-9.67,-35.74,77.0,94,40,2.24
Pangnirtung,66.15,-65.71,-20.49,76,31,4.41
Luang Prabang,19.89,102.13,71.6,68,20,0.87
Awjilah,29.11,21.29,56.84,70,0,7.54
Kamenka,51.32,42.77,29.84,88,3,12.59
Sambava,-14.27,50.17,77.27,88,63,3.29
Vallenar,-28.57,-70.76,66.85,51,75,0.49
Santa Fe,-31.63,-60.7,79.7,72,54,1.99
Santiago del Estero,-27.8,-64.26,72.88,88,94,5.03
Kiama,-34.68,150.87,70.41,100,75,3.36
Hirara,24.8,125.28,69.8,94,75,16.11
Airai,-8.93,125.41,68.5,59,81,2.35
Kyzyl-Suu,42.34,78.0,38.95,34,97,4.88
Lagoa,39.05,-27.98,57.42,69,98,30.44
Celestún,20.87,-90.4,80.17,76,3,14.83
